"rank","country","iq","pop2021"
"","singapore","108","5896.6860"
"","hong kong","108","7552.8100"
"","south korea","106","51305.1860"
"","japan","105","126050.8040"
"","china","105","1444216.1070"
"","taiwan","104","23855.0100"
"","italy","102","60367.4770"
"","iceland","101","343.3530"
"","mongolia","101","3329.2890"
"","switzerland","101","8715.4940"
"","luxembourg","100","634.8140"
"","norway","100","5465.6300"
"","austria","100","9043.0700"
"","netherlands","100","17173.0990"
"","united kingdom","100","68207.1160"
"","estonia","99","1325.1850"
"","finland","99","5548.3600"
"","sweden","99","10160.1690"
"","belgium","99","11632.3260"
"","poland","99","37797.0050"
"","canada","99","38067.9030"
"","germany","99","83900.4730"
"","andorra","98","77.3550"
"","latvia","98","1866.9420"
"","new zealand","98","4860.6430"
"","denmark","98","5813.2980"
"","hungary","98","9634.1640"
"","czech republic","98","10724.5550"
"","australia","98","25788.2150"
"","spain","98","46745.2160"
"","france","98","65426.1790"
"","united states","98","332915.0730"
"","malta","97","442.7840"
"","belarus","97","9442.8620"
"","ukraine","97","43466.8190"
"","russia","97","145912.0250"
"","slovenia","96","2078.7240"
"","uruguay","96","3485.1510"
"","moldova","96","4024.0190"
"","slovakia","96","5460.7210"
"","israel","95","8789.7740"
"","portugal","95","10167.9250"
"","armenia","94","2968.1270"
"","georgia","94","3979.7650"
"","kazakhstan","94","18994.9620"
"","romania","94","19127.7740"
"","vietnam","94","98168.8330"
"","bulgaria","93","6896.6630"
"","argentina","93","45605.8260"
"","ireland","92","4982.9070"
"","greece","92","10370.7440"
"","malaysia","92","32776.1940"
"","brunei","91","441.5320"
"","cyprus","91","1215.5840"
"","lithuania","91","2689.8620"
"","sierra leone","91","8141.3430"
"","cambodia","91","16946.4380"
"","thailand","91","69950.8500"
"","albania","90","2872.9330"
"","bosnia and herzegovina","90","3263.4660"
"","croatia","90","4081.6510"
"","kyrgyzstan","90","6628.3560"
"","chile","90","19212.3610"
"","turkey","90","85042.7380"
"","suriname","89","591.8000"
"","mauritius","89","1273.4330"
"","costa rica","89","5139.0520"
"","laos","89","7379.3580"
"","serbia","89","8697.5500"
"","samoa","88","200.1490"
"","ecuador","88","17888.4750"
"","mexico","88","130262.2160"
"","nauru","87","10.8760"
"","guyana","87","790.3260"
"","turkmenistan","87","6117.9240"
"","tajikistan","87","9749.6270"
"","azerbaijan","87","10223.3420"
"","bolivia","87","11832.9400"
